Anonymized_Employee_ID	Product_S	Product_B	Product_C	total_sold	length(days)	days_with_sales(percen)	sales_per_day	unique_customers	unique_customers(percen)
FR_VIL_S4042_AL	0.33	0.33	0.33	138	33	0.48	8.62	46	1.0
FR_VIL_S4042_QZ	0.33	0.33	0.33	93	16	0.62	9.3	31	1.0
FR_VIL_S4051_AL	0.33	0.33	0.33	78	80	0.19	5.2	24	0.9230769230769231
FR_VIL_S4052_AL	0.34	0.33	0.33	187	88	0.32	6.68	63	1.0
FR_VIL_S4052_QZ	0.33	0.33	0.33	72	67	0.16	6.55	24	1.0
FR_VIL_S4061_AL	0.35	0.33	0.33	40	8	0.62	8.0	14	1.0
FR_VIL_S4061_QZ	0.34	0.33	0.33	283	67	0.43	9.76	97	1.0
FR_VIL_S4062_AL	0.34	0.34	0.32	268	46	0.54	10.72	92	1.0
FR_VIL_S4062_QZ	0.33	0.33	0.33	219	52	0.52	8.11	73	1.0
FR_VIL_S4091_QZ	0.33	0.33	0.33	39	17	0.47	4.88	13	1.0
FR_VIL_S4101_AL	0.33	0.33	0.33	45	16	0.44	6.43	15	1.0
FR_VIL_S4101_QZ	0.33	0.33	0.33	81	39	0.31	6.75	27	1.0
FR_VIL_S4102_AL	0.33	0.33	0.33	30	49	0.14	4.29	10	1.0
FR_VIL_S4102_QZ	0.33	0.33	0.33	15	14	0.36	3.0	5	1.0
FR_XYZ_S1011_AL	0.34	0.33	0.33	3926	605	0.46	14.22	356	0.2658700522778193
FR_XYZ_S1011_QZ	0.48	0.14	0.38	2537	506	0.47	10.62	266	0.21643612693246542
FR_XYZ_S1012_AL	0.35	0.31	0.34	4387	606	0.48	15.02	352	0.227831715210356
FR_XYZ_S1012_QZ	0.33	0.33	0.33	4943	606	0.5	16.31	302	0.18314129775621588
FR_XYZ_S1013_AL	0.35	0.32	0.33	4045	606	0.46	14.55	368	0.25662482566248257
FR_XYZ_S1013_QZ	0.34	0.33	0.33	4121	603	0.46	14.77	336	0.2376237623762376
FR_XYZ_S1014_AL	0.34	0.33	0.34	3840	606	0.49	13.02	329	0.25405405405405407
FR_XYZ_S1014_QZ	0.35	0.34	0.31	3220	603	0.41	12.88	295	0.2594547053649956
FR_XYZ_S1021_AL	0.34	0.33	0.33	4139	605	0.48	14.22	262	0.18607954545454544
FR_XYZ_S1021_QZ	0.57	0.11	0.32	1716	575	0.4	7.49	245	0.2510245901639344
FR_XYZ_S1022_AL	0.36	0.31	0.33	3233	582	0.47	11.89	296	0.2553925798101812
FR_XYZ_S1022_QZ	0.34	0.33	0.33	3439	585	0.42	14.09	216	0.18652849740932642
FR_XYZ_S1023_AL	0.33	0.33	0.33	4714	604	0.52	15.01	241	0.15321042593769865
FR_XYZ_S1023_QZ	0.4	0.29	0.3	1039	558	0.19	9.9	163	0.38995215311004783
FR_XYZ_S1024_AL	0.38	0.3	0.31	1454	304	0.5	9.63	191	0.3435251798561151
FR_XYZ_S1024_QZ	0.36	0.34	0.3	47	9	0.67	7.83	17	1.0
FR_XYZ_S1031_AL	0.33	0.33	0.33	1594	193	0.55	15.04	153	0.287593984962406
FR_XYZ_S1031_QZ	0.34	0.32	0.34	3562	604	0.43	13.7	195	0.15944399018806213
FR_XYZ_S1032_AL	0.34	0.33	0.33	2167	585	0.33	11.11	192	0.2612244897959184
FR_XYZ_S1032_QZ	0.34	0.33	0.33	3436	596	0.41	14.14	240	0.2077922077922078
FR_XYZ_S1033_AL	0.36	0.31	0.33	3617	605	0.5	11.94	332	0.25499231950844853
FR_XYZ_S1033_QZ	0.36	0.32	0.32	4089	592	0.52	13.28	313	0.21177266576454667
FR_XYZ_S1034_AL	0.35	0.31	0.33	1861	264	0.49	14.43	282	0.42727272727272725
FR_XYZ_S1034_QZ	0.34	0.33	0.33	3963	596	0.47	14.1	326	0.23847841989758595
FR_XYZ_S1041_AL	0.33	0.33	0.33	4679	609	0.49	15.65	310	0.19808306709265175
